12.78831	301
13.715232	300
14.937035	299
16.090544	298
18.341337	297
18.209974	295
19.267384	294
19.499952	293
22.692854	286
22.657207	281
22.47862	262
22.305964	234
22.399097	208
22.777256	196
23.277456	180
23.773867	157
24.828262	148
26.479008	138
28.506208	131
30.966103	129
33.219006	122
35.114143	121
36.886845	114
38.67368	111
40.586628	107
42.502483	105
44.049465	99
45.569233	98
46.728203	95
47.48337	88
48.696304	81
49.75665	78
51.051224	77
51.81108	73
52.52571	69
53.155975	66
54.06555	65
54.935127	59
55.332005	55
55.694244	52
55.99628	51
56.643776	49
56.873055	48
56.946278	47
57.25747	44
57.77968	43
57.877155	41
58.391666	40
58.436516	39
58.827496	38
58.82255	35
59.157024	33
59.330166	32
59.657986	31
59.558197	30
59.80107	29
59.701576	27
59.520164	24
59.456017	23
60.21519	22
59.88996	21
60.171036	20
59.90297	19
60.17013	18
60.03625	16
59.917088	15
59.71552	14
59.99961	13
60.103268	12
59.9817	11
59.861187	9
60.124863	7
60.35833	5
60.202965	3
59.944553	2
60.095802	1
